event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
16309155,true,2003-06-20 00:29:00.000,7.03013817779643,46.9188279000021,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",350015.40060156607,5198027.3142556045,"32N","Central European Time",2003-06-20 02:29:00.000
16309156,true,2003-06-20 00:39:00.000,7.11250706001242,46.9296336718355,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356315.69064533716,5199073.814025969,"32N","Central European Time",2003-06-20 02:39:00.000
16309157,true,2003-06-20 00:51:00.000,7.08424350037562,46.9058584016432,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354099.6536635929,5196484.073037942,"32N","Central European Time",2003-06-20 02:51:00.000
16309158,true,2003-06-20 01:31:00.000,7.124146701154,46.9296310780096,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",357201.72368827905,5199052.261002751,"32N","Central European Time",2003-06-20 03:31:00.000
16309159,true,2003-06-20 01:43:00.000,7.12083356561477,46.9279533443161,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356945.05079461925,5198871.868960876,"32N","Central European Time",2003-06-20 03:43:00.000
16309160,true,2003-06-20 01:55:00.000,7.12219168402822,46.9259789992751,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",357043.1832733792,5198650.000757411,"32N","Central European Time",2003-06-20 03:55:00.000
16309161,true,2003-06-20 02:09:00.000,7.1106172296401,46.9368224610376,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356191.0832610304,5199876.104967654,"32N","Central European Time",2003-06-20 04:09:00.000
16309162,true,2003-06-20 02:17:00.000,7.08882136680098,46.9411502177835,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354543.8730972394,5200397.222795163,"32N","Central European Time",2003-06-20 04:17:00.000
16309163,true,2003-06-20 03:09:00.000,7.05240411823384,46.9076716716532,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351679.8912708252,5196745.282599367,"32N","Central European Time",2003-06-20 05:09:00.000
16309164,true,2003-06-20 03:17:00.000,7.05837558571993,46.8998872355229,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352113.2269137179,5195868.998297094,"32N","Central European Time",2003-06-20 05:17:00.000
16309133,true,2003-06-20 03:34:00.000,7.05796481918946,46.9149238338541,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352123.31402128655,5197540.645546634,"32N","Central European Time",2003-06-20 05:34:00.000
16309165,true,2003-06-20 22:20:00.000,7.09721375315398,46.9476849304917,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355200.2130814026,5201107.829708783,"32N","Central European Time",2003-06-21 00:20:00.000
16309166,true,2003-06-20 22:29:00.000,7.08288489758529,46.9250346698313,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354048.2802131704,5198617.480350967,"32N","Central European Time",2003-06-21 00:29:00.000
16309167,true,2003-06-20 22:39:00.000,7.05598381247099,46.9302338504454,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352014.6524754815,5199245.641888604,"32N","Central European Time",2003-06-21 00:39:00.000
16309168,true,2003-06-20 22:47:00.000,7.07205118801132,46.9319272440827,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353242.3542328893,5199403.611549656,"32N","Central European Time",2003-06-21 00:47:00.000
16309169,true,2003-06-20 22:55:00.000,7.07029992422833,46.9359870689836,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353120.1537971664,5199858.022619708,"32N","Central European Time",2003-06-21 00:55:00.000
16309170,true,2003-06-20 23:04:00.000,7.07421031624455,46.9393568822022,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353426.98626571003,5200225.160661725,"32N","Central European Time",2003-06-21 01:04:00.000
16309171,true,2003-06-20 23:12:00.000,7.04826811349253,46.9094514863868,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351369.84148535697,5196950.886074609,"32N","Central European Time",2003-06-21 01:12:00.000
16309172,true,2003-06-20 23:27:00.000,7.07647827105184,46.9138635819193,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353530.1000636173,5197388.086551844,"32N","Central European Time",2003-06-21 01:27:00.000
16309131,true,2003-06-20 23:36:00.000,7.07511757706612,46.9170789772536,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353435.2603021681,5197747.925444222,"32N","Central European Time",2003-06-21 01:36:00.000
16309200,true,2003-06-20 23:44:00.000,7.06665499632476,46.9208803966484,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352801.33172195684,5198186.192616533,"32N","Central European Time",2003-06-21 01:44:00.000
16309201,true,2003-06-20 23:55:00.000,7.04826811349253,46.9094514863868,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351369.84148535697,5196950.886074609,"32N","Central European Time",2003-06-21 01:55:00.000
16309202,true,2003-06-21 00:03:00.000,7.05468058287532,46.9186782800054,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351883.5908376723,5197964.039765028,"32N","Central European Time",2003-06-21 02:03:00.000
16309203,true,2003-06-21 00:11:00.000,7.07819470007945,46.914845035655,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353663.46992389834,5197493.94201599,"32N","Central European Time",2003-06-21 02:11:00.000
16309204,true,2003-06-21 00:27:00.000,7.11694345762847,46.9306097740458,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356656.0058812074,5199174.159014191,"32N","Central European Time",2003-06-21 02:27:00.000
16309205,true,2003-06-21 00:36:00.000,7.11815399285409,46.931848199733,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356751.4564399825,5199309.561724394,"32N","Central European Time",2003-06-21 02:36:00.000
16309206,true,2003-06-21 00:47:00.000,7.11569038383045,46.9273970534328,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356552.04048897594,5198819.449952671,"32N","Central European Time",2003-06-21 02:47:00.000
16309207,true,2003-06-21 01:29:00.000,7.11438450145126,46.925730732206,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356448.17619817285,5198636.676664053,"32N","Central European Time",2003-06-21 03:29:00.000
16309208,true,2003-06-21 01:38:00.000,7.11695367341787,46.9437972771132,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356691.98313604516,5200639.551033517,"32N","Central European Time",2003-06-21 03:38:00.000
16309209,true,2003-06-21 01:57:00.000,7.10704944073393,46.9038733587425,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355831.1454016224,5196221.324292054,"32N","Central European Time",2003-06-21 03:57:00.000
16309210,true,2003-06-21 02:25:00.000,7.09038363902237,46.9425137131594,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354666.46275709884,5200545.8382622115,"32N","Central European Time",2003-06-21 04:25:00.000
